Geneid,0_R1,0_R2,0_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,15_R1,15_R2,15_R3,Entity,Symbol
gene-PA3224,50.0,78.0,49.0,25.0,39.0,73.0,7.0,5.0,10.0,4.0,2.0,63.0,host,gene-PA3224
gene-PA4615,,,72.0,,,202.0,,70.0,,27.0,23.0,109.0,host,gene-PA4615
gene-PA2314,4.0,0.0,4.0,2.0,0.0,38.0,0.0,1.0,9.0,0.0,0.0,90.0,host,gene-PA2314
gene-PA0658,111.0,79.0,48.0,48.0,95.0,142.0,17.0,23.0,25.0,9.0,10.0,231.0,host,gene-PA0658
gene-PA1404,5.0,1.0,6.0,2.0,3.0,59.0,1.0,1.0,3.0,1.0,0.0,124.0,host,gene-PA1404
gene-PA1872,41.0,53.0,17.0,15.0,14.0,94.0,6.0,5.0,12.0,1.0,0.0,178.0,host,gene-PA1872
gene-PA4622,10.0,7.0,,5.0,13.0,299.0,5.0,2.0,,2.0,3.0,372.0,host,gene-PA4622
gene-PA1407,14.0,10.0,16.0,7.0,10.0,129.0,3.0,5.0,10.0,1.0,1.0,206.0,host,gene-PA1407
gene-PA2569,23.0,24.0,9.0,11.0,19.0,84.0,4.0,3.0,6.0,0.0,2.0,36.0,host,gene-PA2569
gene-PA2287,21.0,15.0,14.0,16.0,25.0,27.0,3.0,2.0,8.0,1.0,3.0,51.0,host,gene-PA2287
gene-PA5115,7.0,3.0,,2.0,5.0,109.0,1.0,2.0,,1.0,0.0,103.0,host,gene-PA5115
gene-PA5449,299.0,242.0,55.0,,,295.0,26.0,13.0,40.0,9.0,4.0,250.0,host,wbpX
gene-PA1297,22.0,8.0,29.0,8.0,19.0,268.0,4.0,3.0,29.0,2.0,1.0,284.0,host,gene-PA1297
gene-PA3633,53.0,64.0,24.0,68.0,96.0,153.0,32.0,32.0,8.0,10.0,5.0,126.0,host,ygbP
gene-PA4519,108.0,109.0,,62.0,108.0,338.0,32.0,59.0,27.0,,23.0,222.0,host,speC
gene-PA3137,79.0,59.0,30.0,36.0,68.0,198.0,7.0,9.0,14.0,6.0,6.0,256.0,host,gene-PA3137
gene-PA5176,,347.0,72.0,144.0,201.0,210.0,43.0,57.0,27.0,19.0,10.0,141.0,host,gene-PA5176
gene-PA5295,244.0,238.0,79.0,77.0,172.0,275.0,29.0,41.0,41.0,16.0,14.0,475.0,host,gene-PA5295
gene-PA0648,104.0,91.0,69.0,41.0,80.0,161.0,23.0,31.0,16.0,24.0,16.0,70.0,host,gene-PA0648
gene-PA0381,85.0,130.0,45.0,80.0,141.0,245.0,32.0,45.0,37.0,25.0,18.0,225.0,host,thiG
gene-PA1562,210.0,145.0,134.0,94.0,147.0,467.0,33.0,32.0,45.0,13.0,7.0,,host,acnA
gene-PA3781,16.0,18.0,38.0,10.0,17.0,234.0,1.0,6.0,23.0,1.0,1.0,301.0,host,gene-PA3781
gene-PA1262,8.0,3.0,12.0,0.0,2.0,98.0,0.0,1.0,22.0,1.0,0.0,182.0,host,gene-PA1262
gene-PA3254,35.0,41.0,28.0,34.0,45.0,128.0,13.0,9.0,9.0,5.0,2.0,283.0,host,gene-PA3254
gene-PA0496,38.0,32.0,23.0,15.0,36.0,173.0,6.0,2.0,25.0,1.0,1.0,233.0,host,gene-PA0496
gene-PA4358,31.0,32.0,180.0,14.0,33.0,327.0,10.0,9.0,24.0,9.0,2.0,,host,gene-PA4358
gene-PA5138,186.0,222.0,54.0,138.0,217.0,226.0,26.0,29.0,25.0,14.0,13.0,124.0,host,gene-PA5138
gene-PA2630,73.0,100.0,107.0,120.0,251.0,237.0,43.0,61.0,27.0,33.0,,102.0,host,gene-PA2630
gene-PA3051,32.0,38.0,19.0,5.0,8.0,105.0,1.0,1.0,14.0,1.0,3.0,154.0,host,gene-PA3051
gene-PA2469,14.0,20.0,14.0,11.0,14.0,72.0,2.0,7.0,3.0,1.0,3.0,102.0,host,gene-PA2469
gene-PA2740,,,,,,473.0,,,30.0,,,162.0,host,pheS
gene-PA1920,17.0,23.0,69.0,12.0,14.0,396.0,4.0,5.0,54.0,9.0,5.0,,host,nrdD
gene-PA3356,268.0,210.0,91.0,,,207.0,63.0,62.0,34.0,8.0,6.0,285.0,host,gene-PA3356
gene-PA1598,16.0,20.0,21.0,8.0,11.0,120.0,0.0,2.0,10.0,3.0,0.0,305.0,host,gene-PA1598
gene-PA3663,50.0,50.0,14.0,27.0,39.0,99.0,8.0,13.0,8.0,6.0,2.0,158.0,host,gene-PA3663
gene-PA3295,62.0,89.0,22.0,23.0,16.0,132.0,7.0,8.0,11.0,7.0,1.0,153.0,host,gene-PA3295
gene-PA4811,36.0,32.0,72.0,65.0,101.0,395.0,4.0,5.0,21.0,4.0,3.0,239.0,host,fdnH
gene-PA1881,5.0,9.0,2.0,6.0,4.0,70.0,0.0,2.0,7.0,0.0,1.0,110.0,host,gene-PA1881
gene-PA0714,35.0,46.0,,19.0,62.0,324.0,1.0,5.0,26.0,2.0,3.0,174.0,host,gene-PA0714
gene-PA5215,,,,205.0,,310.0,,,40.0,,,282.0,host,gcvT1
gene-PA5107,186.0,125.0,44.0,112.0,145.0,166.0,28.0,21.0,21.0,9.0,12.0,78.0,host,blc
gene-PA0034,55.0,33.0,28.0,16.0,26.0,140.0,3.0,3.0,19.0,2.0,3.0,140.0,host,gene-PA0034
gene-PA4998,67.0,46.0,28.0,42.0,67.0,176.0,8.0,13.0,12.0,7.0,3.0,159.0,host,gene-PA4998
gene-PA3870,10.0,2.0,18.0,2.0,4.0,138.0,0.0,4.0,14.0,0.0,0.0,172.0,host,moaA1
gene-PA5168,70.0,76.0,,207.0,251.0,241.0,33.0,35.0,25.0,9.0,7.0,274.0,host,gene-PA5168
gene-PA2346,15.0,9.0,12.0,1.0,6.0,136.0,2.0,1.0,15.0,2.0,2.0,317.0,host,gene-PA2346
gene-PA4673,285.0,,,,,,,,,,,187.0,host,gene-PA4673
gene-PA0707,40.0,53.0,,24.0,52.0,130.0,6.0,19.0,27.0,5.0,6.0,187.0,host,toxR
gene-PA2480,51.0,41.0,23.0,42.0,63.0,99.0,13.0,6.0,15.0,6.0,4.0,184.0,host,gene-PA2480
gene-PA3620,197.0,232.0,177.0,178.0,274.0,471.0,54.0,52.0,47.0,31.0,16.0,,host,mutS
gene-PA4011,85.0,82.0,65.0,72.0,93.0,199.0,11.0,19.0,22.0,11.0,8.0,286.0,host,gene-PA4011
gene-PA2210,5.0,7.0,26.0,6.0,7.0,125.0,3.0,2.0,15.0,2.0,0.0,236.0,host,gene-PA2210
gene-PA1013.1,94.0,153.0,41.0,56.0,90.0,238.0,17.0,29.0,26.0,6.0,11.0,65.0,host,gene-PA1013.1
gene-PA3103,199.0,195.0,64.0,126.0,165.0,194.0,17.0,29.0,25.0,7.0,8.0,157.0,host,xcpR
gene-PA0096,19.0,22.0,26.0,13.0,25.0,108.0,4.0,2.0,19.0,3.0,2.0,105.0,host,gene-PA0096
gene-PA1316,11.0,11.0,44.0,8.0,5.0,239.0,2.0,4.0,27.0,2.0,2.0,465.0,host,gene-PA1316
gene-PA5361,26.0,26.0,,17.0,20.0,330.0,7.0,10.0,,8.0,10.0,,host,phoR
gene-PA3401,21.0,27.0,18.0,22.0,27.0,154.0,6.0,8.0,12.0,4.0,4.0,330.0,host,gene-PA3401
gene-PA0127,29.0,29.0,15.0,7.0,21.0,191.0,4.0,1.0,15.0,2.0,2.0,344.0,host,gene-PA0127
gene-PA3835,20.0,30.0,40.0,13.0,34.0,412.0,3.0,9.0,27.0,4.0,2.0,328.0,host,gene-PA3835
gene-PA2007,207.0,234.0,125.0,195.0,368.0,91.0,24.0,26.0,9.0,9.0,9.0,114.0,host,maiA
gene-PA1893,22.0,21.0,70.0,11.0,15.0,361.0,4.0,4.0,22.0,5.0,2.0,,host,gene-PA1893
gene-PA3305.1,7.0,145.0,,23.0,48.0,121.0,10.0,13.0,17.0,6.0,2.0,39.0,host,phrS
gene-PA2462,,,,,,,,,,,,,host,gene-PA2462
gene-PA5343,130.0,89.0,19.0,33.0,42.0,138.0,9.0,18.0,10.0,8.0,4.0,415.0,host,gene-PA5343
gene-PA4561,334.0,336.0,83.0,198.0,327.0,224.0,50.0,,,,,267.0,host,ribF
gene-PA3905,15.0,32.0,26.0,6.0,23.0,72.0,3.0,7.0,8.0,6.0,1.0,157.0,host,gene-PA3905
gene-PA0754,23.0,16.0,197.0,35.0,36.0,,3.0,3.0,,1.0,0.0,,host,gene-PA0754
gene-PA3273,13.0,10.0,7.0,4.0,2.0,64.0,0.0,0.0,4.0,0.0,0.0,72.0,host,gene-PA3273
gene-PA3810,,,163.0,,,364.0,,,43.0,,,545.0,host,hscA
gene-PA4805,18.0,11.0,40.0,6.0,13.0,327.0,3.0,3.0,28.0,3.0,1.0,448.0,host,gene-PA4805
gene-PA0621,63.0,95.0,83.0,63.0,151.0,204.0,,70.0,36.0,31.0,23.0,56.0,host,gene-PA0621
gene-PA2804,5.0,6.0,12.0,3.0,6.0,74.0,1.0,1.0,7.0,3.0,1.0,156.0,host,gene-PA2804
gene-PPLUZ19_gp11,0.0,0.0,40.0,,,,,,,,,,phage,gp11
gene-PA2779,41.0,48.0,32.0,20.0,31.0,83.0,3.0,7.0,11.0,1.0,2.0,67.0,host,gene-PA2779
gene-PA1047,99.0,110.0,51.0,44.0,70.0,269.0,16.0,21.0,22.0,6.0,5.0,346.0,host,gene-PA1047
gene-PA3701,171.0,208.0,128.0,234.0,364.0,302.0,,,24.0,,,101.0,host,prfB
gene-PA4421.1,,,,,,,,,,,,,host,rnpB
gene-PA4044,176.0,177.0,,205.0,279.0,,55.0,68.0,33.0,35.0,20.0,,host,dxs
gene-PA0352,39.0,41.0,45.0,44.0,76.0,344.0,21.0,18.0,29.0,16.0,4.0,470.0,host,gene-PA0352
gene-PA2344,20.0,9.0,8.0,10.0,8.0,43.0,5.0,5.0,8.0,0.0,0.0,56.0,host,mtlZ
gene-PA3834,,,,,,,,,,,,,host,valS
gene-PA4230,93.0,55.0,64.0,126.0,116.0,69.0,17.0,9.0,5.0,2.0,3.0,107.0,host,pchB
gene-PA2198,26.0,36.0,13.0,20.0,19.0,40.0,1.0,2.0,4.0,2.0,0.0,31.0,host,gene-PA2198
gene-PA4589,36.0,44.0,,15.0,30.0,265.0,4.0,11.0,37.0,8.0,6.0,239.0,host,gene-PA4589
gene-PA0004,,,,,,,,,,,,468.0,host,gyrB
gene-PA4758.1,7.0,14.0,33.0,4.0,11.0,67.0,4.0,2.0,10.0,3.0,1.0,44.0,host,gene-PA4758.1
gene-PA4244,,,,,,,,,,,,293.0,host,rplO
gene-PA4388,53.0,81.0,50.0,37.0,57.0,154.0,5.0,6.0,37.0,4.0,2.0,268.0,host,gene-PA4388
gene-PA4195,4.0,4.0,,1.0,9.0,191.0,1.0,2.0,15.0,5.0,0.0,217.0,host,gene-PA4195
gene-PA1798,31.0,36.0,31.0,35.0,38.0,166.0,9.0,10.0,12.0,10.0,6.0,144.0,host,parS
gene-PPLUZ19_gp27,0.0,0.0,2.0,70.0,132.0,,,,,,,,phage,gp27
gene-PA2805,276.0,179.0,,86.0,96.0,108.0,30.0,27.0,11.0,9.0,10.0,55.0,host,gene-PA2805
gene-PA4383,27.0,21.0,22.0,11.0,23.0,113.0,3.0,3.0,13.0,0.0,1.0,94.0,host,gene-PA4383
gene-PA1943,52.0,49.0,24.0,25.0,31.0,131.0,3.0,5.0,16.0,2.0,3.0,137.0,host,gene-PA1943
gene-PA3560,,280.0,38.0,,,165.0,,43.0,27.0,7.0,16.0,272.0,host,fruA
gene-PA4340,64.0,76.0,18.0,31.0,39.0,104.0,8.0,2.0,8.0,3.0,5.0,160.0,host,gene-PA4340
gene-PA5430,114.0,138.0,81.0,58.0,97.0,347.0,22.0,22.0,50.0,5.0,10.0,475.0,host,gene-PA5430
gene-PA2747a,59.0,40.0,11.0,7.0,16.0,37.0,4.0,6.0,4.0,6.0,4.0,31.0,host,gene-PA2747a
gene-PA4763,64.0,56.0,54.0,91.0,109.0,299.0,29.0,17.0,34.0,8.0,9.0,349.0,host,recN
gene-PA0313,170.0,162.0,54.0,97.0,138.0,208.0,20.0,24.0,15.0,10.0,2.0,125.0,host,gene-PA0313
gene-PA4254,,,,,,,,,,,,285.0,host,rpsQ
gene-PA5120,16.0,19.0,59.0,10.0,31.0,44.0,5.0,5.0,,2.0,1.0,60.0,host,gene-PA5120
gene-PA1141,16.0,11.0,12.0,2.0,13.0,96.0,1.0,1.0,8.0,1.0,1.0,205.0,host,gene-PA1141
gene-PA5207,21.0,21.0,68.0,14.0,21.0,242.0,2.0,4.0,26.0,4.0,1.0,422.0,host,gene-PA5207
gene-PA2786,1.0,4.0,7.0,1.0,9.0,45.0,0.0,0.0,4.0,2.0,0.0,77.0,host,gene-PA2786
gene-PA2394,,,242.0,,,402.0,,,37.0,,,174.0,host,pvdN
gene-PA5338,,,,,,,,,,,,,host,spoT
gene-PA0911,27.0,33.0,39.0,19.0,44.0,184.0,12.0,15.0,,12.0,1.0,60.0,host,gene-PA0911
gene-PA0111,7.0,4.0,15.0,2.0,8.0,82.0,0.0,2.0,10.0,0.0,0.0,228.0,host,gene-PA0111
gene-PA3625,213.0,273.0,68.0,117.0,215.0,209.0,35.0,36.0,21.0,22.0,13.0,186.0,host,surE
gene-PA5105,34.0,16.0,27.0,11.0,19.0,140.0,8.0,3.0,8.0,2.0,3.0,221.0,host,hutC
gene-PA1609,311.0,,,,,,,,37.0,,,168.0,host,fabB
gene-PA5155,93.0,113.0,46.0,92.0,121.0,166.0,9.0,5.0,17.0,2.0,2.0,126.0,host,gene-PA5155
gene-PA4479,16.0,25.0,12.0,34.0,55.0,88.0,8.0,14.0,10.0,4.0,5.0,102.0,host,mreD
gene-PA1611,151.0,203.0,109.0,183.0,263.0,306.0,27.0,35.0,42.0,24.0,18.0,247.0,host,gene-PA1611
gene-PA3929,74.0,141.0,37.0,68.0,209.0,208.0,31.0,44.0,28.0,,,248.0,host,cioB
gene-PA3891,21.0,9.0,24.0,13.0,15.0,241.0,0.0,2.0,,4.0,0.0,233.0,host,gene-PA3891
gene-PA0649,175.0,161.0,65.0,157.0,202.0,230.0,37.0,36.0,36.0,25.0,21.0,198.0,host,trpG
gene-PA5558,,,,,,,,,,,,276.0,host,atpF
gene-PA4434,137.0,99.0,89.0,103.0,138.0,228.0,17.0,19.0,,7.0,4.0,313.0,host,gene-PA4434
gene-PA2570,2.0,5.0,14.0,2.0,4.0,65.0,1.0,0.0,10.0,3.0,0.0,42.0,host,lecA
gene-PA2826,87.0,52.0,51.0,29.0,28.0,101.0,4.0,4.0,14.0,2.0,2.0,47.0,host,gene-PA2826
gene-PA3036,18.0,13.0,18.0,6.0,12.0,136.0,0.0,6.0,15.0,5.0,2.0,172.0,host,gene-PA3036
gene-PA4572,48.0,40.0,187.0,51.0,65.0,232.0,19.0,22.0,26.0,22.0,9.0,254.0,host,fklB
gene-PA0122,103.0,,,54.0,,234.0,24.0,,20.0,35.0,3.0,210.0,host,gene-PA0122
gene-PA0164,15.0,33.0,37.0,7.0,12.0,183.0,2.0,2.0,24.0,3.0,3.0,176.0,host,gene-PA0164
gene-PA2511,9.0,9.0,10.0,8.0,7.0,117.0,1.0,3.0,14.0,3.0,0.0,276.0,host,gene-PA2511
gene-PA1580,,,,,,504.0,,,55.0,,,223.0,host,gltA
gene-PA3898,24.0,20.0,,4.0,14.0,394.0,3.0,0.0,,1.0,3.0,256.0,host,gene-PA3898
gene-PA4420,,,213.0,191.0,,224.0,48.0,60.0,26.0,34.0,14.0,124.0,host,gene-PA4420
gene-PA4619,123.0,143.0,232.0,55.0,83.0,214.0,13.0,18.0,,9.0,7.0,328.0,host,gene-PA4619
gene-PA1835,11.0,7.0,4.0,4.0,12.0,57.0,1.0,2.0,10.0,0.0,1.0,143.0,host,gene-PA1835
gene-PA5501,57.0,51.0,37.0,37.0,42.0,191.0,9.0,10.0,31.0,7.0,5.0,249.0,host,znuB
gene-PA1425,29.0,30.0,14.0,15.0,38.0,112.0,9.0,18.0,16.0,2.0,1.0,155.0,host,gene-PA1425
gene-PA0074,124.0,95.0,149.0,108.0,133.0,423.0,17.0,23.0,47.0,21.0,14.0,,host,ppkA
gene-PA2999,139.0,261.0,103.0,,,321.0,,,39.0,,,323.0,host,nqrA
gene-PA4538,165.0,141.0,66.0,142.0,158.0,215.0,35.0,35.0,33.0,9.0,11.0,245.0,host,ndh
gene-PA4983,52.0,32.0,14.0,9.0,17.0,140.0,5.0,4.0,17.0,3.0,1.0,318.0,host,gene-PA4983
gene-PA1660,12.0,17.0,57.0,5.0,21.0,305.0,3.0,15.0,24.0,14.0,1.0,146.0,host,gene-PA1660
gene-PA3093,81.0,73.0,27.0,65.0,105.0,128.0,11.0,12.0,15.0,9.0,8.0,286.0,host,gene-PA3093
gene-PA4483,170.0,195.0,115.0,,320.0,,49.0,46.0,30.0,34.0,14.0,450.0,host,gatA
gene-PA3657,194.0,289.0,137.0,,350.0,321.0,58.0,,28.0,,,112.0,host,map
gene-PA2487,9.0,2.0,14.0,5.0,3.0,70.0,0.0,2.0,8.0,0.0,1.0,128.0,host,gene-PA2487
gene-PA4084,28.0,22.0,46.0,12.0,18.0,321.0,3.0,4.0,30.0,1.0,1.0,387.0,host,cupB3
gene-PA1070,,,,,,198.0,,65.0,11.0,11.0,12.0,105.0,host,braG
gene-PA3970,66.0,57.0,117.0,62.0,54.0,284.0,8.0,7.0,25.0,4.0,1.0,482.0,host,amn
gene-PA0460,92.0,66.0,85.0,48.0,49.0,174.0,18.0,14.0,14.0,14.0,9.0,131.0,host,gene-PA0460
gene-PA0561,37.0,48.0,63.0,37.0,55.0,313.0,10.0,10.0,42.0,3.0,3.0,151.0,host,gene-PA0561
gene-PA4623,4.0,2.0,11.0,2.0,7.0,68.0,0.0,1.0,8.0,0.0,0.0,152.0,host,gene-PA4623
gene-PA0363,56.0,76.0,36.0,32.0,45.0,131.0,21.0,10.0,24.0,15.0,10.0,70.0,host,coaD
gene-PA3500,11.0,6.0,21.0,16.0,7.0,196.0,2.0,4.0,32.0,0.0,1.0,275.0,host,gene-PA3500
gene-PA4014,33.0,33.0,,20.0,38.0,129.0,11.0,7.0,14.0,3.0,1.0,225.0,host,gene-PA4014
gene-PA3288,52.0,30.0,14.0,29.0,50.0,77.0,7.0,7.0,7.0,13.0,4.0,182.0,host,gene-PA3288
gene-PA3329,16.0,40.0,102.0,6.0,53.0,262.0,1.0,5.0,27.0,2.0,2.0,314.0,host,gene-PA3329
gene-PA3828,177.0,323.0,110.0,248.0,,294.0,45.0,,29.0,,23.0,168.0,host,gene-PA3828
gene-PA5232,135.0,136.0,,57.0,118.0,217.0,10.0,20.0,,13.0,5.0,294.0,host,gene-PA5232
gene-PA0294,29.0,24.0,17.0,13.0,6.0,81.0,2.0,2.0,11.0,4.0,2.0,90.0,host,aguR
gene-PA1417,21.0,6.0,14.0,72.0,20.0,82.0,8.0,1.0,13.0,0.0,1.0,132.0,host,gene-PA1417
gene-PA3472,40.0,44.0,34.0,15.0,43.0,155.0,8.0,9.0,22.0,6.0,2.0,224.0,host,gene-PA3472
gene-PA3202,81.0,94.0,26.0,47.0,44.0,119.0,16.0,12.0,4.0,16.0,4.0,84.0,host,gene-PA3202
gene-PA4512,100.0,117.0,107.0,47.0,74.0,232.0,5.0,11.0,27.0,8.0,5.0,170.0,host,lpxO1
gene-PA0595,,,,,,,,,,,,376.0,host,ostA
gene-PA2343,4.0,4.0,11.0,4.0,9.0,60.0,2.0,0.0,9.0,2.0,1.0,78.0,host,mtlY
gene-PA4306,22.0,36.0,50.0,6.0,8.0,106.0,3.0,4.0,8.0,10.0,2.0,56.0,host,flp
gene-PA3028,335.0,172.0,54.0,135.0,164.0,144.0,25.0,26.0,16.0,10.0,12.0,224.0,host,moeA2
gene-PA5238,51.0,57.0,,26.0,48.0,452.0,12.0,9.0,59.0,8.0,5.0,355.0,host,gene-PA5238
gene-PA2951,,,,,,334.0,,,65.0,,,247.0,host,etfA
gene-PA0047,50.0,51.0,31.0,96.0,109.0,124.0,32.0,24.0,10.0,11.0,18.0,196.0,host,gene-PA0047
gene-PA4802.1,17.0,8.0,18.0,5.0,2.0,76.0,2.0,2.0,11.0,1.0,0.0,86.0,host,gene-PA4802.1
gene-PA0897,289.0,353.0,148.0,154.0,,164.0,13.0,23.0,26.0,11.0,6.0,142.0,host,aruG
gene-PA2113,,49.0,27.0,,297.0,138.0,38.0,25.0,13.0,2.0,5.0,245.0,host,opdO
gene-PA3133.4,152.0,,67.0,132.0,286.0,,,,58.0,,,110.0,host,gene-PA3133.4
gene-PA0091,122.0,215.0,,108.0,273.0,,24.0,40.0,49.0,33.0,14.0,443.0,host,vgrG1
gene-PA2504,108.0,67.0,22.0,26.0,39.0,104.0,10.0,11.0,10.0,6.0,2.0,118.0,host,gene-PA2504
gene-PA3971,38.0,29.0,99.0,26.0,36.0,120.0,5.0,6.0,8.0,1.0,1.0,195.0,host,gene-PA3971
gene-PA4033,11.0,4.0,15.0,5.0,5.0,148.0,1.0,3.0,7.0,0.0,0.0,133.0,host,gene-PA4033
gene-PA1229,0.0,7.0,14.0,6.0,10.0,142.0,0.0,2.0,13.0,1.0,2.0,161.0,host,gene-PA1229
gene-PA0259,177.0,168.0,131.0,97.0,139.0,369.0,24.0,28.0,40.0,22.0,15.0,258.0,host,gene-PA0259
gene-PA3629,234.0,302.0,,247.0,307.0,321.0,55.0,60.0,26.0,31.0,24.0,211.0,host,adhC
gene-PA4451.1,115.0,90.0,27.0,50.0,71.0,33.0,18.0,20.0,5.0,7.0,6.0,18.0,host,gene-PA4451.1
gene-PA3010,147.0,218.0,93.0,76.0,170.0,113.0,26.0,34.0,12.0,9.0,15.0,35.0,host,gene-PA3010
gene-PA2681,10.0,4.0,11.0,7.0,5.0,54.0,3.0,1.0,9.0,1.0,2.0,136.0,host,gene-PA2681
gene-PA5357,22.0,24.0,20.0,20.0,47.0,101.0,7.0,9.0,,9.0,4.0,181.0,host,gene-PA5357
gene-PA3408,,,80.0,181.0,96.0,416.0,35.0,10.0,44.0,3.0,9.0,,host,hasR
gene-PA3955,30.0,17.0,19.0,13.0,15.0,133.0,3.0,3.0,23.0,0.0,0.0,120.0,host,gene-PA3955
gene-PA3552,9.0,14.0,15.0,7.0,7.0,92.0,0.0,5.0,17.0,1.0,0.0,178.0,host,arnB
gene-PA3537,35.0,26.0,30.0,28.0,19.0,155.0,7.0,15.0,19.0,6.0,4.0,182.0,host,argF
gene-PA2225,4.0,7.0,13.0,4.0,6.0,105.0,0.0,1.0,6.0,1.0,1.0,79.0,host,gene-PA2225
gene-PA3183,,,,,,346.0,62.0,,55.0,36.0,22.0,220.0,host,zwf
gene-PA2686,214.0,180.0,33.0,16.0,32.0,111.0,1.0,12.0,15.0,2.0,4.0,174.0,host,pfeR
gene-PA5243,,,,,,455.0,,,60.0,,,158.0,host,hemB
gene-PA1168,2.0,5.0,14.0,2.0,3.0,108.0,0.0,0.0,16.0,0.0,0.0,68.0,host,gene-PA1168
gene-PA3198,128.0,78.0,58.0,83.0,114.0,172.0,12.0,24.0,17.0,5.0,7.0,128.0,host,gene-PA3198
gene-PA0662,301.0,236.0,53.0,88.0,193.0,262.0,40.0,51.0,19.0,36.0,26.0,188.0,host,argC
gene-PA2439,7.0,11.0,17.0,5.0,12.0,81.0,3.0,2.0,11.0,1.0,0.0,102.0,host,gene-PA2439
gene-PA1591,14.0,18.0,18.0,61.0,90.0,145.0,16.0,34.0,20.0,14.0,2.0,141.0,host,gene-PA1591
gene-PA3713,35.0,32.0,40.0,13.0,30.0,231.0,8.0,19.0,31.0,6.0,1.0,274.0,host,spdH
gene-PA5150,,,98.0,,,364.0,57.0,,50.0,35.0,28.0,265.0,host,gene-PA5150
gene-PA2973,,,,,,433.0,,,42.0,33.0,,135.0,host,gene-PA2973
gene-PA5324,99.0,83.0,,85.0,138.0,342.0,15.0,15.0,67.0,11.0,4.0,279.0,host,gene-PA5324
gene-PA3824.1,64.0,91.0,22.0,56.0,107.0,120.0,48.0,,23.0,35.0,23.0,43.0,host,gene-PA3824.1
gene-PA0714.1,8.0,22.0,34.0,6.0,23.0,92.0,3.0,8.0,12.0,3.0,4.0,61.0,host,phrD
gene-PA2644,26.0,15.0,57.0,36.0,47.0,139.0,27.0,27.0,20.0,18.0,14.0,75.0,host,nuoI
gene-PA2069,14.0,34.0,27.0,5.0,31.0,149.0,1.0,7.0,20.0,1.0,0.0,353.0,host,gene-PA2069
gene-PA2476,38.0,40.0,23.0,29.0,33.0,136.0,6.0,12.0,10.0,3.0,1.0,271.0,host,dsbG
gene-PA4135,47.0,71.0,45.0,36.0,52.0,161.0,8.0,5.0,19.0,3.0,3.0,123.0,host,gene-PA4135
gene-PA0055,65.0,51.0,50.0,31.0,56.0,157.0,9.0,13.0,27.0,1.0,7.0,125.0,host,gene-PA0055
gene-PA3104,109.0,99.0,40.0,46.0,82.0,102.0,9.0,9.0,12.0,7.0,1.0,147.0,host,xcpP
gene-PA1064,102.0,113.0,152.0,58.0,74.0,163.0,15.0,16.0,13.0,10.0,3.0,221.0,host,gene-PA1064
gene-PA4653,44.0,24.0,,12.0,19.0,250.0,1.0,2.0,47.0,2.0,4.0,324.0,host,gene-PA4653
gene-PA4295,4.0,9.0,29.0,6.0,9.0,136.0,4.0,7.0,40.0,3.0,6.0,91.0,host,fppA
gene-PA4271,,,,,,,,,,,,410.0,host,rplL
gene-PA2411,,,,,,,,,32.0,,,118.0,host,gene-PA2411
gene-PA1678,115.0,92.0,38.0,106.0,161.0,129.0,24.0,48.0,14.0,31.0,22.0,119.0,host,gene-PA1678
gene-PA3397,,,108.0,,,259.0,,,39.0,,,123.0,host,fpr
gene-PA2184,4.0,5.0,11.0,4.0,3.0,83.0,1.0,1.0,12.0,2.0,1.0,37.0,host,gene-PA2184
gene-PA3525,,,193.0,,,448.0,,,43.0,,,149.0,host,argG
gene-PA1392,57.0,76.0,61.0,34.0,60.0,291.0,8.0,14.0,26.0,3.0,1.0,121.0,host,gene-PA1392
gene-PA4485,33.0,24.0,21.0,25.0,50.0,128.0,6.0,13.0,12.0,6.0,2.0,190.0,host,gene-PA4485
gene-PA3773,8.0,1.0,19.0,0.0,2.0,141.0,0.0,0.0,24.0,0.0,0.0,249.0,host,gene-PA3773
gene-PA1727,66.0,70.0,46.0,67.0,98.0,221.0,19.0,31.0,25.0,16.0,12.0,280.0,host,mucR
gene-PA4272,,,,,,,,,,,,,host,rplJ
gene-PA0566,40.0,53.0,18.0,31.0,26.0,105.0,8.0,5.0,8.0,4.0,2.0,107.0,host,gene-PA0566
gene-PA4989,16.0,14.0,11.0,1.0,10.0,180.0,3.0,2.0,15.0,0.0,1.0,197.0,host,gene-PA4989
gene-PA4972,72.0,59.0,,56.0,80.0,219.0,12.0,11.0,28.0,9.0,3.0,,host,gene-PA4972
gene-PA0255,55.0,56.0,20.0,23.0,48.0,91.0,9.0,10.0,13.0,5.0,3.0,150.0,host,gene-PA0255
gene-PA1802,,,,,,,,,,,,214.0,host,clpX
gene-PA4614,,,211.0,,,280.0,,,40.0,,,124.0,host,mscL
gene-PA2788,133.0,166.0,131.0,77.0,143.0,195.0,16.0,14.0,28.0,7.0,9.0,271.0,host,gene-PA2788
gene-PA3207,74.0,43.0,10.0,38.0,55.0,40.0,11.0,16.0,8.0,4.0,5.0,41.0,host,gene-PA3207
gene-PA0954,305.0,185.0,35.0,96.0,157.0,128.0,18.0,21.0,22.0,10.0,7.0,138.0,host,gene-PA0954
gene-PA1455,,,253.0,234.0,323.0,156.0,49.0,39.0,13.0,26.0,22.0,88.0,host,fliA
